tem,Month,Year,rain
28.0003,6,1919,429.508
27.7889,7,1919,316.506
28.3777,8,1919,806.554
27.3902,9,1919,527.605
26.4084,10,1919,77.1145
23.1173,11,1919,58.0797
18.9201,12,1919,1.20948
18.7317,1,1920,2.20118
19.8729,2,1920,25.7535
24.0729,3,1920,103.99
27.0365,4,1920,82.0514
27.7238,5,1920,273.926
28.6608,6,1920,434.396
28.4222,7,1920,462.428
27.8438,8,1920,519.612
27.968,9,1920,306.14
26.9096,10,1920,121.032
23.1647,11,1920,3.84201
19.6288,12,1920,0.70148
19.0034,1,1921,25.5379
20.4179,2,1921,6.73176
25.4407,3,1921,35.4543
27.5527,4,1921,280.166
28.8115,5,1921,168.951
27.7312,6,1921,559.224
28.1502,7,1921,563.936
27.9259,8,1921,452.636
28.1141,9,1921,239.818
25.4904,10,1921,102.363
22.401,11,1921,12.7244
19.1064,12,1921,1.9763
18.621,1,1922,6.28317
21.033,2,1922,2.50415
25.7471,3,1922,35.1278
28.5568,4,1922,89.4853
28.8271,5,1922,291.993
27.3527,6,1922,628.946
27.9223,7,1922,637.45
27.8164,8,1922,414.03
27.915,9,1922,658.105
25.9622,10,1922,90.2567
23.0288,11,1922,3.28945
19.0427,12,1922,5.05268
18.6312,1,1923,0.2034
19.8836,2,1923,51.6389
24.9515,3,1923,37.3254
27.8685,4,1923,225.583
28.1951,5,1923,217.668
28.7014,6,1923,375.707
27.8902,7,1923,264.157
28.1404,8,1923,741.587
28.085,9,1923,163.07
26.1335,10,1923,111.23
22.9939,11,1923,21.4818
19.4361,12,1923,5.71822
18.4881,1,1924,3.75275
20.5691,2,1924,10.9122
26.6422,3,1924,0.77195
28.7039,4,1924,109.904
28.2107,5,1924,258.384
29.0303,6,1924,642.036
27.8485,7,1924,572.381
27.8401,8,1924,683.449
27.397,9,1924,317.495
27.2626,10,1924,119.125
22.7645,11,1924,143.815
19.0319,12,1924,0.42203
16.9382,1,1925,7.44247
19.0482,2,1925,9.08182
24.7465,3,1925,18.3886
27.0765,4,1925,347.585
27.1711,5,1925,249.362
27.9974,6,1925,528.94
27.6439,7,1925,670.233
28.0744,8,1925,469.48
27.5406,9,1925,219.913
25.8388,10,1925,130.232
22.5173,11,1925,8.96177
18.4914,12,1925,0.20418
18.0436,1,1926,14.6215
20.7124,2,1926,8.2562
23.8361,3,1926,95.8359
26.692,4,1926,109.066
27.8134,5,1926,227.869
28.874,6,1926,277.9
27.8577,7,1926,796.267
27.9764,8,1926,341.633
28.0988,9,1926,258.316
26.6226,10,1926,179.601
21.9718,11,1926,9.40578
19.622,12,1926,25.1592
18.0251,1,1927,17.809
19.7421,2,1927,38.0801
23.1684,3,1927,28.5818
27.5302,4,1927,85.4605
27.4235,5,1927,260.88
28.3215,6,1927,675.394
28.2326,7,1927,656.572
27.9566,8,1927,457.57
27.6875,9,1927,272.553
26.8392,10,1927,150.797
22.7253,11,1927,24.6582
19.4851,12,1927,0.0
18.5036,1,1928,6.30357
21.1361,2,1928,10.4603
25.5137,3,1928,4.49918
27.8824,4,1928,133.607
27.8043,5,1928,311.074
27.5143,6,1928,586.373
27.978,7,1928,589.271
28.1385,8,1928,495.89
28.4182,9,1928,233.426
26.5972,10,1928,267.452
22.4865,11,1928,10.2458
19.461,12,1928,0.49404
18.3725,1,1929,16.7175
19.683,2,1929,3.23819
25.1633,3,1929,60.8157
27.4018,4,1929,168.841
28.3855,5,1929,242.222
28.2485,6,1929,539.79
27.9211,7,1929,611.303
27.8708,8,1929,332.066
27.9973,9,1929,250.144
26.2202,10,1929,240.915
22.3896,11,1929,6.37303
18.5883,12,1929,6.42947
17.1308,1,1930,5.29223
20.2585,2,1930,23.9319
24.836,3,1930,46.8843
27.5107,4,1930,73.9789
28.2023,5,1930,249.852
27.7208,6,1930,356.157
28.0704,7,1930,701.185
27.8828,8,1930,364.867
28.1845,9,1930,221.913
26.5011,10,1930,111.791
22.5794,11,1930,139.852
18.6454,12,1930,1.11792
19.2912,1,1931,2.36234
20.5581,2,1931,29.9072
24.6265,3,1931,58.5361
28.3371,4,1931,195.949
27.7868,5,1931,293.215
28.8507,6,1931,281.272
27.7335,7,1931,461.884
28.6073,8,1931,276.823
27.6722,9,1931,347.207
26.9166,10,1931,129.201
22.3272,11,1931,33.165
19.425,12,1931,6.29039
18.7903,1,1932,1.61393
19.2857,2,1932,21.3381
25.3485,3,1932,19.255
27.8492,4,1932,195.019
27.9615,5,1932,382.466
28.2926,6,1932,589.857
27.9526,7,1932,566.606
28.0368,8,1932,261.476
28.1666,9,1932,288.672
27.2559,10,1932,86.9181
23.2841,11,1932,119.142
19.3707,12,1932,6.31867
17.267,1,1933,10.6943
20.9302,2,1933,18.6183
25.4578,3,1933,4.25047
26.6786,4,1933,157.455
27.5726,5,1933,329.327
27.705,6,1933,429.113
27.8826,7,1933,610.431
27.7244,8,1933,411.573
28.0191,9,1933,221.405
26.7932,10,1933,175.592
22.5782,11,1933,4.34117
19.0815,12,1933,2.62996
17.9754,1,1934,7.59007
20.2944,2,1934,39.558
25.0594,3,1934,22.8781
27.9356,4,1934,133.701
28.2405,5,1934,326.382
27.5306,6,1934,371.785
28.1013,7,1934,575.555
28.0593,8,1934,316.366
28.4278,9,1934,747.339
26.2628,10,1934,223.748
22.1819,11,1934,32.3631
19.0272,12,1934,7.33182
17.6546,1,1935,4.94338
20.6904,2,1935,25.3281
25.3797,3,1935,20.2926
27.3559,4,1935,99.9117
29.3369,5,1935,156.903
28.5321,6,1935,552.279
28.4028,7,1935,373.398
27.5299,8,1935,633.872
28.0197,9,1935,250.749
26.8749,10,1935,47.22
23.2079,11,1935,17.8729
19.0876,12,1935,2.27944
17.6556,1,1936,5.30771
19.9519,2,1936,25.2687
25.6072,3,1936,23.6988
28.1323,4,1936,158.12
27.7471,5,1936,394.917
27.1586,6,1936,533.732
27.9088,7,1936,570.408
28.2978,8,1936,310.979
27.8549,9,1936,366.703
26.127,10,1936,228.993
23.7141,11,1936,7.66937
19.6911,12,1936,21.5583
17.1468,1,1937,0.0265
20.2496,2,1937,30.1397
24.3094,3,1937,5.98596
28.0696,4,1937,103.289
27.8123,5,1937,403.94
28.2435,6,1937,390.076
28.5889,7,1937,335.537
27.9099,8,1937,501.751
28.2349,9,1937,296.256
26.6222,10,1937,180.106
22.6849,11,1937,7.05839
19.1976,12,1937,1.35544
19.2664,1,1938,10.5036
19.4212,2,1938,11.8401
26.1933,3,1938,14.8106
29.1067,4,1938,69.324
27.2286,5,1938,465.273
27.6996,6,1938,717.301
27.7973,7,1938,547.367
28.1085,8,1938,614.125
28.5279,9,1938,220.827
27.2116,10,1938,122.557
21.8681,11,1938,46.7906
18.9308,12,1938,0.16198
18.9613,1,1939,1.57736
21.0936,2,1939,15.5098
24.8663,3,1939,15.5301
28.8783,4,1939,50.3976
28.411,5,1939,321.014
28.1074,6,1939,503.846
27.7214,7,1939,609.832
27.9175,8,1939,458.453
27.7891,9,1939,354.547
26.6052,10,1939,226.98
22.8798,11,1939,7.19556
19.4199,12,1939,2.27083
17.8246,1,1940,0.09005
20.392,2,1940,28.8248
23.1225,3,1940,123.366
27.9876,4,1940,188.578
27.9565,5,1940,356.941
28.3484,6,1940,459.402
27.8575,7,1940,345.623
28.2643,8,1940,651.6
27.9643,9,1940,291.108
27.0944,10,1940,134.946
23.9458,11,1940,4.54599
19.7315,12,1940,7.21845
18.4257,1,1941,9.50147
20.9764,2,1941,18.1531
26.2475,3,1941,11.294
28.4779,4,1941,243.23
28.3179,5,1941,327.274
27.7471,6,1941,783.675
28.1991,7,1941,460.039
28.3456,8,1941,578.413
28.1701,9,1941,222.544
26.4394,10,1941,264.913
22.4904,11,1941,69.0747
20.364,12,1941,3.15451
18.5173,1,1942,5.14758
20.887,2,1942,24.3795
25.4426,3,1942,39.3477
27.5847,4,1942,170.641
28.9374,5,1942,194.522
28.9074,6,1942,269.781
28.4444,7,1942,661.474
27.8112,8,1942,443.541
27.5892,9,1942,452.43
27.0809,10,1942,81.3453
23.8591,11,1942,16.4857
19.2302,12,1942,0.1343
19.4068,1,1943,29.3725
19.539,2,1943,25.4597
24.4346,3,1943,57.1202
26.0894,4,1943,333.39
28.1733,5,1943,208.787
27.9244,6,1943,442.53
27.8151,7,1943,522.932
27.7138,8,1943,509.659
28.1217,9,1943,323.417
27.0109,10,1943,64.8117
23.7047,11,1943,6.26408
20.2734,12,1943,0.82889
18.4048,1,1944,27.2062
20.1012,2,1944,15.227
25.0431,3,1944,42.1676
26.5521,4,1944,145.949
29.1642,5,1944,198.366
28.895,6,1944,460.273
28.2518,7,1944,408.849
28.3515,8,1944,429.219
27.9998,9,1944,230.536
26.8679,10,1944,88.1687
22.9212,11,1944,2.02702
20.3914,12,1944,0.35446
18.2015,1,1945,25.9673
19.3508,2,1945,17.3206
25.7198,3,1945,21.6969
27.5778,4,1945,171.733
27.8711,5,1945,309.845
28.6697,6,1945,383.063
28.3827,7,1945,451.998
28.2371,8,1945,358.178
28.5058,9,1945,297.065
26.2761,10,1945,284.818
22.875,11,1945,8.55173
18.7336,12,1945,0.81369
18.7904,1,1946,0.81116
22.2759,2,1946,16.2432
25.2807,3,1946,51.7841
26.1737,4,1946,267.018
27.7316,5,1946,270.761
27.8769,6,1946,425.059
27.7379,7,1946,395.186
28.3153,8,1946,538.033
28.0705,9,1946,412.309
26.1231,10,1946,297.256
23.7298,11,1946,43.8025
20.0773,12,1946,0.08892
18.4592,1,1947,2.18307
20.8343,2,1947,5.67583
25.3178,3,1947,69.8127
28.6075,4,1947,107.859
28.4113,5,1947,356.112
28.5211,6,1947,442.622
28.12,7,1947,631.931
28.0557,8,1947,446.662
28.0439,9,1947,497.411
26.1121,10,1947,261.153
23.1268,11,1947,1.08203
20.073,12,1947,30.1635
18.8595,1,1948,4.94443
20.5453,2,1948,53.1801
24.3332,3,1948,41.4551
27.3178,4,1948,265.178
27.2727,5,1948,338.362
28.3304,6,1948,383.859
27.6623,7,1948,428.44
27.9189,8,1948,504.491
28.1084,9,1948,273.255
26.2712,10,1948,238.586
23.4262,11,1948,45.6929
18.6645,12,1948,0.34566
18.691,1,1949,8.43542
20.196,2,1949,11.1358
24.974,3,1949,66.8256
25.4455,4,1949,325.503
26.6293,5,1949,397.104
27.9464,6,1949,528.721
27.7579,7,1949,575.004
27.877,8,1949,448.978
27.8519,9,1949,364.827
27.2007,10,1949,124.113
22.2315,11,1949,7.79009
17.6854,12,1949,0.24329
18.5486,1,1950,0.95331
20.1997,2,1950,37.1688
24.4553,3,1950,36.8968
27.7109,4,1950,77.3122
28.4808,5,1950,208.921
27.8493,6,1950,562.629
27.7724,7,1950,429.562
27.3795,8,1950,516.673
28.1418,9,1950,204.392
26.6353,10,1950,194.603
22.3076,11,1950,110.718
19.193,12,1950,0.81345
17.7884,1,1951,1.46508
20.5543,2,1951,0.0057
24.8184,3,1951,48.0227
27.2714,4,1951,134.69
28.2118,5,1951,201.181
28.0756,6,1951,424.819
27.7922,7,1951,639.217
28.3824,8,1951,461.463
28.1077,9,1951,326.631
27.2955,10,1951,261.506
23.2622,11,1951,38.4084
20.3254,12,1951,2.73628
18.9548,1,1952,2.819
21.9137,2,1952,2.5095
24.0828,3,1952,58.8997
27.0739,4,1952,255.301
27.5969,5,1952,288.571
28.4238,6,1952,504.859
27.7268,7,1952,603.285
28.033,8,1952,342.201
27.7437,9,1952,352.395
26.9695,10,1952,273.719
23.0584,11,1952,49.1966
19.0419,12,1952,1.43815
17.715,1,1953,13.7329
21.4254,2,1953,7.78775
26.0308,3,1953,64.1822
28.252,4,1953,114.384
28.0526,5,1953,317.316
27.7573,6,1953,543.459
27.7162,7,1953,652.124
28.1521,8,1953,397.148
27.7436,9,1953,415.956
26.4653,10,1953,119.564
22.6183,11,1953,17.1858
20.5814,12,1953,0.75467
17.2898,1,1954,15.6634
22.1992,2,1954,20.5793
25.2363,3,1954,23.3158
29.126,4,1954,91.1713
28.893,5,1954,250.974
27.2109,6,1954,683.143
27.8235,7,1954,466.429
28.0071,8,1954,450.3
28.1271,9,1954,212.264
25.7316,10,1954,177.784
21.666,11,1954,0.14087
19.3207,12,1954,6.70821
17.988,1,1955,4.17168
20.2242,2,1955,2.55556
25.517,3,1955,63.0167
27.234,4,1955,117.456
28.6394,5,1955,214.981
28.1113,6,1955,477.064
27.3639,7,1955,548.997
27.6166,8,1955,451.5
27.976,9,1955,265.446
27.0494,10,1955,171.876
23.0927,11,1955,115.431
18.576,12,1955,0.82756
18.2806,1,1956,12.145
19.802,2,1956,4.21711
25.3792,3,1956,83.9227
27.949,4,1956,118.754
28.0995,5,1956,287.922
27.1197,6,1956,595.058
27.6612,7,1956,483.284
27.9301,8,1956,510.976
27.6135,9,1956,338.255
26.8891,10,1956,173.323
22.9846,11,1956,55.2849
19.3905,12,1956,4.08725
18.6476,1,1957,21.3908
19.5143,2,1957,27.3864
24.0236,3,1957,12.6682
28.3691,4,1957,68.7759
29.2739,5,1957,129.986
28.4367,6,1957,412.538
28.0674,7,1957,527.145
28.4941,8,1957,339.035
28.1995,9,1957,230.859
26.4778,10,1957,78.5405
22.6556,11,1957,0.52471
19.6706,12,1957,1.44234
19.7673,1,1958,4.36869
20.7237,2,1958,31.3106
25.5715,3,1958,18.0814
28.5818,4,1958,137.765
28.8361,5,1958,214.459
29.4177,6,1958,226.438
28.4789,7,1958,401.132
27.9477,8,1958,476.307
28.3228,9,1958,268.075
27.4873,10,1958,166.99
23.6633,11,1958,6.81405
20.1148,12,1958,2.76849
18.5213,1,1959,25.2933
19.8572,2,1959,20.4774
24.6577,3,1959,83.1661
28.165,4,1959,122.485
28.2968,5,1959,359.432
28.168,6,1959,465.967
28.0668,7,1959,443.91
27.9072,8,1959,553.256
27.3399,9,1959,388.106
26.1549,10,1959,402.994
22.3988,11,1959,0.19915
19.419,12,1959,4.4506
18.0893,1,1960,0.03981
22.1152,2,1960,0.97754
23.957,3,1960,47.3186
29.2185,4,1960,27.0602
29.2217,5,1960,250.843
28.6191,6,1960,360.87
27.5236,7,1960,669.317
28.4533,8,1960,347.803
27.8695,9,1960,389.229
26.882,10,1960,134.597
22.4092,11,1960,29.934
19.7958,12,1960,0.58055
19.0652,1,1961,6.16273
19.0658,2,1961,22.7065
26.0556,3,1961,22.3121
28.555,4,1961,87.3954
28.4711,5,1961,192.679
27.9452,6,1961,972.536
28.0834,7,1961,294.587
28.2561,8,1961,510.77
27.8613,9,1961,208.662
26.8185,10,1961,169.7
22.0269,11,1961,5.16209
17.5351,12,1961,0.60981
17.0844,1,1962,8.66949
20.6306,2,1962,22.2978
25.1073,3,1962,6.04963
28.0974,4,1962,95.3012
27.9313,5,1962,319.335
27.9382,6,1962,399.432
28.6468,7,1962,509.042
27.8838,8,1962,401.382
28.3854,9,1962,207.679
26.4392,10,1962,170.023
22.4533,11,1962,0.1717
19.1662,12,1962,0.7377
17.7822,1,1963,0.58449
21.9651,2,1963,0.9191
24.9482,3,1963,33.631
26.9333,4,1963,117.506
27.1739,5,1963,272.534
27.9536,6,1963,459.493
28.0948,7,1963,572.234
28.296,8,1963,299.125
28.4266,9,1963,266.525
26.5765,10,1963,238.534
22.9553,11,1963,13.3191
19.7094,12,1963,0.78731
17.9709,1,1964,5.94211
21.1238,2,1964,19.8919
26.2558,3,1964,24.7424
27.2635,4,1964,213.125
27.8866,5,1964,238.66
28.2793,6,1964,502.621
27.3133,7,1964,569.584
28.2281,8,1964,326.531
28.1808,9,1964,270.624
27.1473,10,1964,316.161
23.5157,11,1964,29.8628
19.7899,12,1964,0.15303
18.6764,1,1965,0.27337
20.4685,2,1965,37.1055
23.8589,3,1965,37.4934
27.4561,4,1965,52.9001
28.676,5,1965,192.222
28.0528,6,1965,448.92
27.5588,7,1965,602.78
27.1909,8,1965,556.13
27.7401,9,1965,286.953
26.5774,10,1965,102.255
23.1994,11,1965,33.2288
19.7873,12,1965,14.7019
18.4824,1,1966,15.4377
22.1565,2,1966,0.87698
25.1246,3,1966,22.8879
28.5128,4,1966,53.478
29.1766,5,1966,183.664
27.728,6,1966,423.554
28.2117,7,1966,429.89
27.9247,8,1966,456.18
27.6962,9,1966,318.377
25.7202,10,1966,175.73
23.7204,11,1966,23.6765
19.1252,12,1966,29.1764
18.6105,1,1967,24.1993
21.2856,2,1967,3.72153
23.8405,3,1967,95.0896
26.5681,4,1967,145.831
28.1967,5,1967,197.062
28.1625,6,1967,318.576
28.075,7,1967,511.037
27.9847,8,1967,377.757
27.4322,9,1967,363.87
26.1048,10,1967,132.535
21.6477,11,1967,2.10312
19.6023,12,1967,0.45729
17.9779,1,1968,8.01219
19.643,2,1968,7.75839
24.9615,3,1968,53.2339
27.1675,4,1968,107.727
28.0834,5,1968,267.954
26.9702,6,1968,800.141
27.7856,7,1968,511.001
28.0264,8,1968,415.247
28.4405,9,1968,199.112
26.4382,10,1968,128.784
23.1298,11,1968,23.7808
19.5489,12,1968,1.31776
17.8455,1,1969,3.66924
21.0472,2,1969,0.74622
25.8095,3,1969,90.9436
27.8697,4,1969,157.083
28.6643,5,1969,125.659
28.1842,6,1969,416.228
28.131,7,1969,543.448
27.3112,8,1969,539.158
28.0775,9,1969,324.491
26.4501,10,1969,66.7082
23.2061,11,1969,25.0749
19.5562,12,1969,0.59785
17.8687,1,1970,16.7087
20.8429,2,1970,16.3557
25.1381,3,1970,30.2124
28.1814,4,1970,88.686
28.8184,5,1970,153.278
28.1102,6,1970,636.673
27.7758,7,1970,550.896
28.0489,8,1970,421.068
27.7837,9,1970,404.488
26.3453,10,1970,296.902
22.8516,11,1970,55.8865
19.17,12,1970,0.05075
18.1881,1,1971,11.8691
19.7759,2,1971,6.31247
24.4476,3,1971,8.55389
26.2185,4,1971,69.8946
27.4486,5,1971,147.566
27.438,6,1971,363.691
27.1886,7,1971,517.82
26.9405,8,1971,478.907
27.8165,9,1971,279.091
26.6511,10,1971,160.661
22.2256,11,1971,71.9736
19.3208,12,1971,0.2358
18.7213,1,1972,1.34663
18.6849,2,1972,26.5107
25.0857,3,1972,25.2717
27.1956,4,1972,104.872
29.0864,5,1972,155.076
28.2846,6,1972,317.996
28.3326,7,1972,375.331
27.4792,8,1972,424.779
28.1104,9,1972,199.335
26.6273,10,1972,87.8432
23.1532,11,1972,2.57908
19.4455,12,1972,0.02066
18.8691,1,1973,4.79803
21.9105,2,1973,31.0566
24.1362,3,1973,46.4803
28.5821,4,1973,111.753
27.042,5,1973,492.833
27.8315,6,1973,478.214
28.2071,7,1973,430.427
27.9847,8,1973,287.732
27.6703,9,1973,384.063
26.7585,10,1973,174.955
22.9698,11,1973,96.3741
19.0137,12,1973,44.2418
17.631,1,1974,5.48967
20.1513,2,1974,0.04505
24.6152,3,1974,118.325
27.2181,4,1974,148.729
27.6897,5,1974,333.845
27.8498,6,1974,382.049
27.0471,7,1974,780.355
27.9089,8,1974,375.054
27.4488,9,1974,334.658
27.6097,10,1974,219.244
24.1236,11,1974,20.3715
18.2645,12,1974,0.7203
18.0454,1,1975,2.66038
20.7283,2,1975,12.4828
25.4553,3,1975,12.8183
28.2002,4,1975,94.5976
28.0144,5,1975,251.874
28.3837,6,1975,338.62
27.1209,7,1975,682.34
27.9833,8,1975,279.506
27.5182,9,1975,343.686
27.4014,10,1975,195.543
22.4417,11,1975,51.6203
18.307,12,1975,0.85572
18.3264,1,1976,1.18694
21.1868,2,1976,17.157
25.5237,3,1976,31.1362
27.7962,4,1976,81.9646
27.4224,5,1976,284.795
27.5163,6,1976,652.306
27.8497,7,1976,473.475
27.3903,8,1976,435.298
27.8908,9,1976,215.449
26.592,10,1976,98.277
24.3715,11,1976,41.4419
19.1128,12,1976,2.1749
17.9541,1,1977,3.89109
20.3662,2,1977,33.824
26.3199,3,1977,25.9827
26.1722,4,1977,304.988
26.4029,5,1977,329.388
27.1542,6,1977,490.912
27.9848,7,1977,514.169
28.1256,8,1977,287.439
28.3048,9,1977,184.801
26.0245,10,1977,149.403
23.717,11,1977,35.8673
19.1805,12,1977,19.7034
16.8006,1,1978,0.6893
20.2042,2,1978,7.28948
24.0473,3,1978,25.2145
27.0655,4,1978,137.157
27.3758,5,1978,363.313
27.4932,6,1978,488.343
27.9215,7,1978,425.095
28.6085,8,1978,359.019
27.6907,9,1978,372.462
27.517,10,1978,107.964
24.0292,11,1978,8.64631
19.7649,12,1978,0.58537
19.1725,1,1979,11.8392
20.0549,2,1979,15.3143
24.9246,3,1979,20.5132
28.2364,4,1979,80.0346
29.526,5,1979,116.378
28.8,6,1979,425.375
28.2819,7,1979,526.512
28.2275,8,1979,536.167
28.0401,9,1979,417.903
26.9451,10,1979,113.73
25.1142,11,1979,25.5128
20.0687,12,1979,40.2626
18.2739,1,1980,3.3678
20.6525,2,1980,42.1885
25.0401,3,1980,60.7095
28.7934,4,1980,74.1954
27.1723,5,1980,347.529
28.2177,6,1980,340.656
28.1036,7,1980,516.119
28.1573,8,1980,395.61
28.396,9,1980,246.292
26.4103,10,1980,185.85
23.3395,11,1980,1.61647
20.3604,12,1980,0.85529
18.3163,1,1981,23.5086
20.644,2,1981,27.508
24.1726,3,1981,86.7601
25.7174,4,1981,378.903
27.1297,5,1981,326.596
28.551,6,1981,405.931
27.6783,7,1981,679.557
28.462,8,1981,376.863
27.9154,9,1981,264.709
27.2273,10,1981,22.197
23.4404,11,1981,1.09602
19.0389,12,1981,44.4069
18.9885,1,1982,0.37417
20.5124,2,1982,21.1194
23.7499,3,1982,39.1975
26.815,4,1982,179.316
28.9711,5,1982,166.775
